            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5249.0.55.005 Tourism Satellite Account: quarterly tourism labour statistics, Australia, experimental estimates, December 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30 am (Canberra time) 18 March 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 Direct tourism filled jobs, by industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep-2004,Dec-2004,Mar-2005,Jun-2005,Sep-2005,Dec-2005,Mar-2006,Jun-2006,Sep-2006,Dec-2006,Mar-2007,Jun-2007,Sep-2007,Dec-2007,Mar-2008,Jun-2008,Sep-2008,Dec-2008,Mar-2009,Jun-2009,Sep-2009,Dec-2009,Mar-2010,Jun-2010,Sep-2010,Dec-2010,Mar-2011,Jun-2011,Sep-2011,Dec-2011,Mar-2012,Jun-2012,Sep-2012,Dec-2012,Mar-2013,Jun-2013,Sep-2013,Dec-2013,Mar-2014,Jun-2014,Sep-2014,Dec-2014,Mar-2015,Jun-2015,Sep-2015,Dec-2015,Mar-2016,Jun-2016,Sep-2016,Dec-2016,Mar-2017,Jun-2017,Sep-2017,Dec-2017,Mar-2018,Jun-2018,Sep-2018,Dec-2018,Mar-2019,Jun-2019,Sep-2019,Dec-2019,Mar-2020,Jun-2020,Sep-2020,Dec-2020,Mar-2021,Jun-2021,Sep-2021,Dec-2021,,,,
Tourism filled jobs ('000) (a) (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tourism characteristic and connected industries ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation ,98.0,98.3,93.1,88.6,84.9,86.6,84.8,80.6,91.4,83.6,91.6,83.7,96.5,85.1,86.7,78.5,90.0,81.8,78.7,81.0,85.0,88.4,84.4,87.3,89.8,86.7,87.8,88.4,92.3,96.2,90.3,91.1,95.8,99.5,94.9,91.9,93.8,91.5,95.7,92.6,99.1,86.7,85.4,88.2,93.7,95.0,93.1,91.6,93.6,91.6,94.9,88.7,90.9,97.5,93.7,89.8,85.4,86.8,89.2,86.3,93.0,100.9,91.9,77.6,77.6,80.9,80.9,91.0,82.6,94.4,,,,
"Cafes, restaurants and takeaway food services ",125.2,132.3,134.9,136.2,137.7,138.2,128.3,127.4,137.8,136.6,138.9,134.1,137.9,135.2,135.2,134.8,141.2,143.2,145.1,140.9,152.4,152.1,149.3,145.0,146.5,151.1,149.9,142.7,148.6,155.6,152.4,149.3,163.7,164.3,164.2,155.2,163.7,166.5,165.5,158.1,172.5,182.0,183.0,179.0,196.4,193.7,191.1,189.0,190.1,194.5,204.0,202.9,215.8,219.5,212.0,210.6,217.6,214.2,215.0,213.6,222.6,233.8,221.9,189.3,207.7,215.1,227.8,224.5,195.4,229.2,,,,
"Clubs, pubs, taverns and bars",33.5,35.4,35.5,38.5,36.9,37.0,33.8,36.0,36.9,36.6,36.6,37.9,37.9,37.1,36.5,39.1,39.7,40.2,40.1,41.8,43.9,43.8,42.3,44.1,42.2,43.5,42.5,43.4,42.9,44.9,43.2,45.5,46.5,46.8,46.2,46.4,44.3,45.2,44.5,45.7,45.6,48.0,47.4,49.9,49.0,48.7,48.0,51.6,46.8,48.4,50.6,54.8,53.7,55.4,53.4,56.9,55.4,54.4,53.5,52.4,56.6,59.4,55.3,46.5,52.8,54.6,56.7,55.1,49.7,58.2,,,,
Rail transport ,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.0,1.1,1.1,1.1,1.2,1.2,1.1,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.2,1.5,1.3,1.4,1.3,1.3,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.8,1.9,2.1,2.3,2.3,2.1,2.0,1.9,2.0,2.2,2.2,2.0,2.1,2.0,2.1,1.9,1.9,2.0,2.0,2.0,1.9,2.1,,,,
Road transport and transport equipment rental,6.0,6.0,6.4,6.4,6.5,6.5,6.6,6.6,6.7,6.6,6.6,6.7,6.7,6.6,6.5,6.7,6.6,6.4,6.4,6.4,6.3,6.3,6.3,6.1,6.1,5.9,5.8,5.9,5.9,5.6,5.9,5.9,6.1,6.1,6.4,6.3,6.5,6.1,6.3,6.2,6.6,6.3,6.5,6.7,6.3,6.5,6.5,6.7,6.6,6.9,6.8,6.8,6.9,7.0,7.0,6.9,7.7,7.7,7.5,7.6,7.7,7.4,7.5,6.5,6.8,7.0,7.1,7.1,6.5,7.3,,,,
"Air, water and other transport ",26.4,26.9,27.8,27.8,28.1,28.5,28.9,28.6,28.9,28.9,28.8,28.9,28.4,28.8,28.3,28.5,27.4,27.2,26.8,27.1,26.0,26.4,27.0,26.1,27.0,26.1,25.9,27.0,26.8,26.7,28.0,28.8,28.6,29.9,28.0,27.7,27.8,28.3,27.9,27.1,27.6,26.6,27.8,27.8,28.5,29.7,28.8,27.7,28.4,28.4,29.0,28.5,30.1,31.1,31.7,30.6,32.7,32.8,32.6,33.0,34.3,34.8,32.1,25.4,19.5,20.2,24.7,24.9,21.7,24.2,,,,
Travel agency and information centre services,26.4,26.1,25.0,28.0,26.7,26.6,26.1,29.4,28.1,29.0,28.9,31.2,30.3,30.4,30.3,32.4,30.3,28.1,26.0,28.1,28.2,28.3,29.4,32.4,32.1,31.4,31.9,35.0,34.4,33.0,33.2,37.1,36.8,35.3,34.7,38.1,36.7,36.5,36.1,35.9,34.8,33.5,35.7,37.2,35.9,34.5,33.9,35.1,32.1,33.6,32.3,35.3,34.7,34.9,34.9,37.4,36.3,35.1,34.6,35.2,39.5,37.6,36.2,31.8,32.9,33.8,34.4,34.5,31.4,35.7,,,,
Cultural services ,8.0,7.8,8.2,8.0,8.0,7.8,7.8,8.3,8.3,8.3,8.1,8.1,8.0,8.4,8.0,7.9,8.3,8.0,8.2,8.2,8.3,8.2,8.6,8.3,10.0,9.7,9.0,8.9,10.0,8.8,8.8,8.8,9.0,7.9,8.1,8.8,8.0,8.2,8.3,9.1,9.5,9.7,9.2,9.2,10.7,11.0,9.5,9.2,8.6,10.1,10.0,9.1,9.6,9.5,9.6,10.1,10.6,11.2,12.3,11.1,11.7,12.7,11.7,8.9,9.6,9.8,10.6,9.8,9.7,10.2,,,,
