Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Temporary Student Visas,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Other Visas(f),Total(g)
Jul-04,120910,11760,19860,23850,58680,11920,292130,6200,7360,3920,952560
Aug-04,110520,10790,16390,20040,12610,9490,270550,7420,7150,3190,785000
Sep-04,119780,10160,16330,21500,9580,8790,249270,12760,7080,3250,812710
Oct-04,116540,11260,16930,23570,15280,10550,304160,12720,7140,5730,951720
Nov-04,97650,9910,15910,18660,8330,8550,355340,11940,6430,4700,838150
Dec-04,109200,10080,15220,15740,9870,7890,436200,10410,5880,5120,919500
Jan-05,112030,16810,30460,29450,44530,16130,324870,10680,10810,3950,1073840
Feb-05,83620,11460,19990,19790,75020,7940,354230,11050,7660,3720,879130
Mar-05,110050,11760,18560,18180,19820,9280,360510,11230,7760,3990,882640
Apr-05,115790,10680,19610,19980,15280,10690,267210,9820,7090,2730,809610
May-05,97200,9380,16040,18350,8560,9280,237380,7920,6360,2790,708680
Jun-05,105100,10340,16700,18740,11180,9990,248270,8510,6310,4800,763400
Jul-05,127170,12750,22850,24430,60400,13330,310610,7930,8740,4510,1031850
Aug-05,114310,12160,18350,20480,14170,11260,288330,8200,7410,3340,847750
Sep-05,122400,12520,18560,22790,12490,11000,259950,13770,7590,3160,892970
Oct-05,121380,12140,19430,25630,14990,11850,312130,13690,7500,4060,989370
Nov-05,94560,10540,16470,18160,9870,10210,347540,12810,7180,5580,842190
Dec-05,110380,10960,17520,16320,10930,8990,437970,10380,6220,5180,944670
Jan-06,114390,17550,33680,29310,40540,19830,325300,11610,9500,3730,1092420
Feb-06,81630,13440,22910,19440,86660,10790,332890,12670,8430,3850,892920
Mar-06,99980,10500,18310,17530,20270,11440,336760,12020,12420,4310,845850
Apr-06,115080,11180,20500,20390,15830,12220,291130,9940,6970,3540,849430
May-06,96070,11210,18310,17980,9890,10550,227290,8840,5690,3280,722640
Jun-06,105850,10420,18480,19540,13790,11810,245960,9420,6150,3480,779630
Jul-06,118490,13790,24490,24690,63630,15620,297570,8150,8540,4640,1036240
Aug-06,104490,12880,19130,21930,16540,13200,276740,9400,7460,3790,845420
Sep-06,126190,12490,19250,23200,14300,13600,264550,15410,7860,2880,909060
Oct-06,116180,12230,22240,25650,18450,13890,324790,15800,8160,3900,1035540
Nov-06,103150,11790,18120,19620,13260,12120,356120,14700,7250,3950,893840
Dec-06,112270,11190,17210,17060,12390,12240,473990,11400,7050,4010,1007590
Jan-07,120550,18820,36100,28770,50160,23790,304260,13230,11380,3790,1135590
Feb-07,85400,12110,23210,18550,82650,11860,358450,12540,8650,4000,929580
Mar-07,104970,13990,22510,19540,29150,13630,373920,14580,8880,4160,945260
Apr-07,119740,12830,22960,20290,20950,15180,285540,10990,8430,3830,909670
May-07,112210,11870,19250,18550,12030,13070,229110,10580,7650,3190,779980
Jun-07,121580,12030,21350,20630,16600,14720,244690,10850,7750,4950,841640
Jul-07,123390,12350,25130,24620,69970,17500,286680,9050,8260,15830,1085800
Aug-07,117380,13310,22230,21870,21580,15920,279770,11650,8180,7700,926260
Sep-07,129520,13140,21030,22950,16750,15650,258080,16890,8380,14270,956610
Oct-07,126750,13200,21850,26090,20410,15510,300800,15420,8470,15540,1107580
Nov-07,113070,12240,20320,19990,15450,13590,348110,16230,7500,9810,964140
Dec-07,114330,11800,18940,17120,16070,13650,443260,12330,7010,7460,1031710
Jan-08,119430,19200,39730,29440,55590,28360,289980,13790,11660,8180,1208080
Feb-08,96080,13890,28860,20610,95390,15170,369020,15320,9800,9280,1039480
Mar-08,111740,14490,26040,19450,36470,15810,355570,15810,8820,8470,998160
Apr-08,115820,12960,24360,20460,23550,17150,270430,13580,9110,8990,929810
May-08,116430,12670,22600,19250,15660,15760,232880,12270,7670,8600,845990
Jun-08,111750,13180,23260,20820,21540,17890,228830,13870,7470,13170,881290
Jul-08,127110,13820,25520,24160,75660,20970,326330,11090,9000,15630,1163830
Aug-08,115570,15400,24100,22850,26460,20410,260200,14180,7910,11710,964100
Sep-08,122710,14250,23780,23970,20190,18030,233300,20890,7410,12040,959240
Oct-08,134340,14490,24900,24670,28440,18390,264430,20220,8850,25430,1129070
Nov-08,112510,13620,23400,19830,21220,16160,315810,19060,8610,13540,962240
Dec-08,117040,12600,20690,16970,19660,14560,431610,15040,8610,9770,1033260
Jan-09,128180,20000,44660,30760,61410,33150,290570,17930,12970,8510,1238640
Feb-09,91190,16300,31470,20680,111470,15580,317960,19840,11270,10340,998940
Mar-09,110220,14350,24580,19080,40200,14850,325650,20750,9020,11900,954240
