Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Temporary Student Visas,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Other Visas(f),Total(g)
Jul-04,117440,9410,14580,18770,22100,9280,249010,8490,8560,2980,807180
Aug-04,110960,7630,12920,19110,8490,7980,332200,7540,7060,3090,843010
Sep-04,117930,7920,13220,20840,11380,8250,229960,7780,6960,3230,825840
Oct-04,121280,7950,13470,17330,7900,7780,281500,6630,6800,2450,791600
Nov-04,101750,9190,16360,18170,44970,7570,340890,7300,7540,6340,862840
Dec-04,112660,14480,26240,25890,52910,13330,322590,7550,10070,3840,1014700
Jan-05,111980,8150,15250,16910,18920,6870,422800,10340,8080,2810,956180
Feb-05,79490,7890,13850,15640,13180,5880,357960,10110,7540,3200,774700
Mar-05,104780,9210,14530,19640,11510,8710,366210,11370,8770,3440,898590
Apr-05,109650,8370,14860,17810,10130,8380,320150,9470,7490,2940,853530
May-05,98520,8900,13450,22020,6640,9030,264850,10270,7910,2960,805960
Jun-05,100100,10170,18170,22540,45130,10630,232290,10830,7910,4720,863870
Jul-05,120260,8890,15920,21780,22430,10340,266290,10220,8020,3470,867850
Aug-05,114980,8630,14440,19590,9140,8880,346260,9850,7650,3240,904730
Sep-05,109570,9300,15900,21890,12360,9720,241800,7310,6760,2840,880090
Oct-05,136010,8170,14570,17270,9030,8520,280790,7290,7270,3060,815700
Nov-05,97810,9700,17680,19340,45460,8360,343300,7640,6820,5920,883600
Dec-05,110890,16090,29110,26860,55500,16670,315580,9400,10460,3620,1035100
Jan-06,113350,9730,16910,16900,21840,7930,412790,10540,7120,3390,959690
Feb-06,81780,7050,13390,15750,12270,8100,353610,10260,7370,2860,780630
Mar-06,91470,9130,13990,18330,9450,8580,363480,11700,12720,3320,870590
Apr-06,114200,9870,16960,20610,14260,11140,325500,10800,8550,3410,916940
May-06,95610,9170,14780,21270,7240,9620,255140,11940,7180,2890,803640
Jun-06,96620,11750,20480,23150,46340,12820,223980,10050,8460,2820,890800
Jul-06,116380,9650,17290,19940,21730,11510,258620,9700,8350,3380,856610
Aug-06,104380,10190,14400,19410,9890,9970,336370,9650,7600,3700,894280
Sep-06,113050,9240,16250,22060,13260,11520,242720,8710,7480,3410,895330
Oct-06,131270,8750,16330,18850,8230,10100,300990,6680,8160,2880,868850
Nov-06,104820,10210,18130,19320,46000,9990,335690,8450,8600,3140,900420
Dec-06,115080,16840,31740,26430,57800,20480,330220,10160,12040,6250,1106420
Jan-07,116410,9120,15540,16120,21020,9260,435470,12190,7820,3250,1013050
Feb-07,83780,9730,16340,15840,15570,9420,356870,12110,7940,3240,812520
Mar-07,97680,10900,17120,20540,10180,11720,388710,12010,9320,3620,965780
Apr-07,113950,10240,17350,19860,13610,12070,333520,11740,10300,3990,951580
